Time [s],Pressure [cmH2O],Flow [L/s],V_tidal [L],Chest [mm],Abd [mm],InspInd
0,-0.122087433378573,0,0,1162.45593922333,1126.09691299655,1
0.01,-0.162783244504765,0.0515718905434865,0.000257859452717432,1162.39212562255,1126.09691299655,605
0.02,-0.218982221774267,0.113379993041579,0.00108261887064276,1162.36021882217,1126.09691299655,1192
0.03,-0.277119094811682,0.153276424798551,0.00241590095984341,1162.29640522139,1126.09691299655,1743
0.04,-0.339131759384926,0.179886618123168,0.00408171617445201,1162.29640522139,1126.09691299655,2307
0.05,-0.410833902797739,0.213676144786771,0.0060495299890017,1162.29640522139,1126.09691299655,2874
0.06,-0.48641183774638,0.242808143030838,0.00833195142808974,1162.29640522139,1126.09691299655,3394
0.07,-0.598809792285384,0.27852004161584,0.0109385923513231,1162.29640522139,1126.09691299655,3922
0.08,-0.717021434128129,0.315109456196672,0.0139067398403857,1162.29640522139,1126.09691299655,4462
0.09,-0.84298465904253,0.344671063395586,0.017205642438347,1162.29640522139,1126.09691299655,5063
0.1,-0.984451050100242,0.375449030354528,0.0208062429070976,1162.29640522139,1126.09691299655,0
0.11,-1.12979323269378,0.414183610464964,0.024754406111195,1162.29640522139,1126.09691299655,0
0.12,-1.31583122641351,0.447121648677672,0.0290609324069082,1162.29640522139,1126.09691299655,0
0.13,-1.48636605398993,0.478258037991756,0.0336878308402553,1162.29640522139,1126.09691299655,0
0.14,-1.66852825617384,0.4968954553166,0.0385635983067971,1162.29640522139,1126.09691299655,0
0.15,-1.87588310334062,0.542527137534503,0.0437607112710526,1162.29640522139,1126.09691299655,0
0.16,-2.04448003514913,0.570019108227978,0.049323442499865,1162.29640522139,1126.09691299655,0
0.17,-2.25571067385174,0.61706939765624,0.0552588850292861,1162.29640522139,1126.12904989405,0
0.18,-2.39911496067736,0.615270882033795,0.0614205864277363,1162.29640522139,1126.12904989405,0
0.19,-2.58902874593292,0.636517758763208,0.0676795296317213,1162.29640522139,1126.16118679156,0
0.2,-2.77119094811682,0.663455885869556,0.0741793978548851,1162.29640522139,1126.16118679156,0
0.21,-2.95529104606864,0.691589115235517,0.0809546228604105,1162.29640522139,1126.16118679156,0
0.22,-3.02893108524937,0.697015930482148,0.0878976480889988,1162.29640522139,1126.19332368907,0
0.23,-3.17427326784291,0.729032716821976,0.0950278913255194,1162.29640522139,1126.19332368907,0
0.24,-3.17427326784291,0.765803503960103,0.10250207242943,1162.29640522139,1126.22546058657,0
0.25,-3.17427326784291,0.794218277038116,0.110302181334421,1162.29640522139,1126.25759748408,0
0.26,-3.17427326784291,0.78721074392785,0.118209326439251,1162.29640522139,1126.25759748408,0
0.27,-3.17427326784291,0.845055431081642,0.126370657314298,1162.29640522139,1126.28973438159,0
0.28,-3.17427326784291,0.866551004540848,0.134928689492411,1162.29640522139,1126.32187127909,0
0.29,-3.17427326784291,0.866551004540848,0.143594199537819,1162.29640522139,1126.32187127909,0
0.3,-3.17427326784291,0.891264133170689,0.152383275226377,1162.29640522139,1126.3540081766,0
0.31,-3.17427326784291,0.894738860317933,0.16131329019382,1162.29640522139,1126.3540081766,0
0.32,-3.17427326784291,0.943920581705279,0.170506587403936,1162.32831202178,1126.3540081766,0
0.33,-3.17427326784291,0.924226218356014,0.179847321404243,1162.32831202178,1126.3861450741,0
0.34,-3.17427326784291,0.951870511484693,0.189227805053446,1162.32831202178,1126.3861450741,0
0.35,-3.17427326784291,0.987526520091534,0.198924790211327,1162.32831202178,1126.3861450741,0
0.36,-3.17427326784291,0.932581784838733,0.208525331735979,1162.36021882217,1126.3861450741,0
0.37,-3.17427326784291,0.977601378541588,0.21807624755288,1162.39212562255,1126.41828197161,0
0.38,-3.17427326784291,0.998907271464696,0.227958790802912,1162.42403242294,1126.41828197161,0
0.39,-3.17427326784291,0.984379375443004,0.23787522403745,1162.45593922333,1126.45041886912,0
